dimension,domain,case_study,reference,attribute,score,quality,importance,work_as_described,official_score,numeric_importance
Social-economic,Learning,Mills,mills1,Knowledge access,4,Excellent,Medium,yes,4,2
Social-economic,Learning,Mills,mills1,Learning capacity,4,Good,Medium,yes,4,2
Social-economic,Agency,Mills,mills1,Agency,4,Good,Medium,yes,4,2
Goverance,Flexibility,Mills,mills1,Responsive,4,Good,Medium,yes,4,2
Goverance,Organization,Mills,mills1,Participatory,4,Excellent,High,yes,4,3
Goverance,Organization,Mills,mills1,Equitable and inclusive,2,Good,Medium,no,2,2
Goverance,Organization,Mills,mills1,Accountable,4,Good,Medium,yes,4,2
Goverance,Organization,Mills,mills1,Transparent,4,Excellent,Medium,yes,4,2
Goverance,Organization,Mills,mills1,Effective and efficient,3,Excellent,Low,yes,3,1
Goverance,Organization,Mills,mills1,Polycentric,4,Excellent,Medium,yes,4,2
Goverance,Organization,Mills,mills1,Cross-scale integration,2,Good,High,"NA",2,3
Goverance,Learning,Mills,mills1,Adaptive,2,Good,Low,yes,2,1
Goverance,Agency,Mills,mills1,Leadership and initiative,4,Good,Medium,yes,4,2
Ecological,Assets,Pecl,pecl1,Population abundance,2,Excellent,High,yes,2,3
Ecological,Assets,Pecl,pecl1,Age structure,2,Excellent,High,yes,2,3
Ecological,Assets,Pecl,pecl1,Genetic diversity,3,Fair,Medium,yes,3,2
Ecological,Assets,Pecl,pecl1,Species diversity,3,Excellent,Medium,no,3,2
Ecological,Flexibility,Pecl,pecl1,Adult mobility,2,Excellent,High,yes,2,3
Ecological,Flexibility,Pecl,pecl1,Larval dispersal,4,Excellent,High,yes,4,3
Ecological,Flexibility,Pecl,pecl1,Environmental niche breadth,2,Good,High,yes,2,3
Ecological,Flexibility,Pecl,pecl1,Dietary flexibility,2,Excellent,High,yes,2,3
Ecological,Flexibility,Pecl,pecl1,Habitat diversity,2,Excellent,High,yes,2,3
Ecological,Flexibility,Pecl,pecl1,Plasticity,2,Fair,High,yes,2,3
Ecological,Flexibility,Pecl,pecl1,Evolutionary potential,2,Good,High,yes,2,3
Ecological,Organization,Pecl,pecl1,Ecosystem connectivity,3,Excellent,High,yes,3,3
Ecological,Organization,Pecl,pecl1,Population modularity,2,Excellent,Medium,yes,2,2
Social-economic,Assets,Pecl,pecl1,Wealth and reserves,3,Excellent,High,yes,3,3
Social-economic,Assets,Pecl,pecl1,Economic diversity,3,Excellent,Medium,yes,3,2
Social-economic,Assets,Pecl,pecl1,Social diversity,3,Excellent,Medium,yes,3,2
Social-economic,Flexibility,Pecl,pecl1,Flexible and agile infrstructure,2,Good,High,yes,2,3
Social-economic,Flexibility,Pecl,pecl1,Mobility,2,Fair,Medium,no,2,2
Social-economic,Flexibility,Pecl,pecl1,Economic opportunity,3,Fair,Medium,yes,3,2
Social-economic,Flexibility,Pecl,pecl1,Resilience mindset,2,Fair,High,yes,2,3
Social-economic,Flexibility,Pecl,pecl1,Place attachment,4,Excellent,High,yes,4,3
Social-economic,Organization,Pecl,pecl1,Social capital,4,Excellent,Medium,yes,4,2
Social-economic,Organization,Pecl,pecl1,Technology transfer,2,Fair,High,yes,2,3
Social-economic,Organization,Pecl,pecl1,Modular infrastructure,3,Fair,Medium,yes,3,2
Social-economic,Learning,Pecl,pecl1,Knowledge diversity,3,Fair,Medium,yes,3,2
Social-economic,Learning,Pecl,pecl1,Knowledge access,4,Excellent,Medium,yes,4,2
Social-economic,Learning,Pecl,pecl1,Learning capacity,3,Fair,High,yes,3,3
Social-economic,Agency,Pecl,pecl1,Agency,3,Excellent,Medium,yes,3,2
Goverance,Flexibility,Pecl,pecl1,Responsive,3,Good,Medium,yes,3,2
Goverance,Organization,Pecl,pecl1,Participatory,3,Excellent,High,yes,3,3
Goverance,Organization,Pecl,pecl1,Equitable and inclusive,2,Excellent,High,yes,2,3
Goverance,Organization,Pecl,pecl1,Accountable,4,Excellent,High,yes,4,3
Goverance,Organization,Pecl,pecl1,Effective and efficient,3,Good,Medium,yes,3,2
Goverance,Organization,Pecl,pecl1,Polycentric,2,Excellent,Medium,yes,2,2
Goverance,Organization,Pecl,pecl1,Cross-scale integration,4,Good,Medium,yes,4,2
Goverance,Learning,Pecl,pecl1,Adaptive,2,Good,High,yes,2,3
Goverance,Agency,Pecl,pecl1,Leadership and initiative,2,Good,High,yes,2,3
Ecological,Assets,Tokunaga,tokunaga1,Population abundance,3,Low,Medium,yes,3,2
Ecological,Assets,Tokunaga,tokunaga1,Age structure,3,Good,Medium,yes,3,2
Ecological,Assets,Tokunaga,tokunaga1,Genetic diversity,1,Excellent,High,yes,1,3
Ecological,Assets,Tokunaga,tokunaga1,Species diversity,2,Low,Medium,yes,2,2
Ecological,Flexibility,Tokunaga,tokunaga1,Adult mobility,1,Excellent,High,no,1,3
Ecological,Flexibility,Tokunaga,tokunaga1,Larval dispersal,3,Excellent,High,yes,3,3
Ecological,Flexibility,Tokunaga,tokunaga1,Environmental niche breadth,2,Excellent,Medium,yes,2,2
Ecological,Flexibility,Tokunaga,tokunaga1,Dietary flexibility,3,Low,Medium,yes,3,2
Ecological,Flexibility,Tokunaga,tokunaga1,Habitat diversity,2,Fair,Medium,yes,2,2
Ecological,Flexibility,Tokunaga,tokunaga1,Plasticity,2,Good,Medium,yes,2,2
Ecological,Flexibility,Tokunaga,tokunaga1,Evolutionary potential,1,Excellent,High,yes,1,3
Ecological,Organization,Tokunaga,tokunaga1,Ecosystem connectivity,2,Good,Medium,yes,2,2
Ecological,Organization,Tokunaga,tokunaga1,Population modularity,2,Fair,Medium,yes,2,2
Social-economic,Assets,Tokunaga,tokunaga1,Wealth and reserves,4,Good,Medium,yes,4,2
Social-economic,Assets,Tokunaga,tokunaga1,Economic diversity,2,Fair,Medium,yes,2,2
Social-economic,Assets,Tokunaga,tokunaga1,Social diversity,2,Low,Low,yes,2,1
Social-economic,Flexibility,Tokunaga,tokunaga1,Flexible and agile infrstructure,3,Good,Medium,yes,3,2
Social-economic,Flexibility,Tokunaga,tokunaga1,Mobility,1,Excellent,High,"NA",1,3
Social-economic,Flexibility,Tokunaga,tokunaga1,Economic opportunity,3,Low,Medium,"NA",3,2
Social-economic,Flexibility,Tokunaga,tokunaga1,Resilience mindset,4,E - No data,High,yes,4,3
Social-economic,Flexibility,Tokunaga,tokunaga1,Place attachment,4,Fair,High,"NA",4,3
Social-economic,Organization,Tokunaga,tokunaga1,Social capital,4,Good,High,yes,4,3
Social-economic,Organization,Tokunaga,tokunaga1,Technology transfer,2,Fair,Medium,"NA",2,2
Social-economic,Organization,Tokunaga,tokunaga1,Modular infrastructure,2,Good,Medium,yes,2,2
Social-economic,Learning,Tokunaga,tokunaga1,Knowledge diversity,3,Fair,Medium,yes,3,2
Social-economic,Learning,Tokunaga,tokunaga1,Knowledge access,2,Low,High,yes,2,3
Social-economic,Learning,Tokunaga,tokunaga1,Learning capacity,4,Low,High,yes,4,3
Social-economic,Agency,Tokunaga,tokunaga1,Agency,4,Excellent,High,yes,4,3
Goverance,Flexibility,Tokunaga,tokunaga1,Responsive,4,Fair,High,yes,4,3
Goverance,Organization,Tokunaga,tokunaga1,Participatory,4,Good,High,yes,4,3
Goverance,Organization,Tokunaga,tokunaga1,Equitable and inclusive,4,Excellent,Medium,yes,4,2
Goverance,Organization,Tokunaga,tokunaga1,Accountable,3,Low,Medium,yes,3,2
Goverance,Organization,Tokunaga,tokunaga1,Transparent,3,Fair,Medium,yes,3,2
Goverance,Organization,Tokunaga,tokunaga1,Effective and efficient,"NA",Excellent,Medium,yes,0,2
Goverance,Organization,Tokunaga,tokunaga1,Polycentric,2,Excellent,Low,"NA",2,1
Goverance,Organization,Tokunaga,tokunaga1,Cross-scale integration,2,Low,Low,yes,2,1
Goverance,Learning,Tokunaga,tokunaga1,Adaptive,3,Fair,Medium,yes,3,2
Goverance,Agency,Tokunaga,tokunaga1,Leadership and initiative,3,Good,Medium,no,3,2
Ecological,Assets,Westfall,westfall1,Population abundance,2,Good,High,yes,2,3
Ecological,Assets,Westfall,westfall1,Age structure,2,Low,Medium,yes,2,2
Ecological,Assets,Westfall,westfall1,Species diversity,3,Fair,Medium,yes,3,2
Ecological,Flexibility,Westfall,westfall1,Adult mobility,4,Excellent,High,yes,4,3
Ecological,Flexibility,Westfall,westfall1,Larval dispersal,3,Excellent,Medium,yes,3,2
Ecological,Flexibility,Westfall,westfall1,Environmental niche breadth,3,Excellent,Medium,yes,3,2
Ecological,Flexibility,Westfall,westfall1,Habitat diversity,3,Excellent,Medium,yes,3,2
Ecological,Flexibility,Westfall,westfall1,Plasticity,2,Excellent,High,no,2,3
Ecological,Flexibility,Westfall,westfall1,Evolutionary potential,3,Low,Low,no,3,1
Ecological,Organization,Westfall,westfall1,Ecosystem connectivity,4,Excellent,High,yes,4,3
Ecological,Organization,Westfall,westfall1,Population modularity,2,Fair,Medium,yes,2,2
Social-economic,Assets,Westfall,westfall1,Wealth and reserves,2,Low,High,no,2,3
Social-economic,Assets,Westfall,westfall1,Economic diversity,2,Low,High,no,2,3
Social-economic,Assets,Westfall,westfall1,Social diversity,3,Fair,Medium,yes,3,2
Social-economic,Flexibility,Westfall,westfall1,Flexible and agile infrstructure,2,Fair,High,yes,2,3
Social-economic,Flexibility,Westfall,westfall1,Mobility,2,Fair,Medium,yes,2,2
Social-economic,Flexibility,Westfall,westfall1,Economic opportunity,2,Fair,High,yes,2,3
Social-economic,Flexibility,Westfall,westfall1,Resilience mindset,3,Fair,Medium,yes,3,2
Social-economic,Flexibility,Westfall,westfall1,Place attachment,3,Good,Medium,yes,3,2
Social-economic,Organization,Westfall,westfall1,Social capital,3,Fair,Medium,yes,3,2
Social-economic,Organization,Westfall,westfall1,Technology transfer,4,Fair,High,yes,4,3
Social-economic,Organization,Westfall,westfall1,Modular infrastructure,2,Low,Medium,yes,2,2
Social-economic,Learning,Westfall,westfall1,Knowledge diversity,2,Fair,High,no,2,3
Social-economic,Learning,Westfall,westfall1,Knowledge access,3,Fair,Medium,yes,3,2
Social-economic,Learning,Westfall,westfall1,Learning capacity,3,Fair,High,yes,3,3
Social-economic,Agency,Westfall,westfall1,Agency,2,Fair,High,yes,2,3
Goverance,Flexibility,Westfall,westfall1,Responsive,2,Fair,High,yes,2,3
Goverance,Organization,Westfall,westfall1,Participatory,2,Fair,High,no,2,3
Goverance,Organization,Westfall,westfall1,Equitable and inclusive,2,Fair,High,no,2,3
Goverance,Organization,Westfall,westfall1,Accountable,3,Fair,Low,yes,3,1
Goverance,Organization,Westfall,westfall1,Transparent,2,Fair,High,yes,2,3
Goverance,Organization,Westfall,westfall1,Effective and efficient,2,Fair,High,yes,2,3
Goverance,Organization,Westfall,westfall1,Polycentric,2,Fair,High,no,2,3
Goverance,Organization,Westfall,westfall1,Cross-scale integration,2,Fair,High,no,2,3
Goverance,Learning,Westfall,westfall1,Adaptive,3,Fair,High,yes,3,3
Goverance,Agency,Westfall,westfall1,Leadership and initiative,3,Fair,Low,yes,3,1
Ecological,Assets,Zhao,zhao1,Population abundance,3,Good,High,yes,3,3
Ecological,Assets,Zhao,zhao1,Age structure,3,Good,Medium,yes,3,2
Ecological,Assets,Zhao,zhao1,Genetic diversity,3,Low,Medium,yes,3,2
Ecological,Assets,Zhao,zhao1,Species diversity,4,Low,Medium,yes,4,2
Ecological,Flexibility,Zhao,zhao1,Adult mobility,3,Good,Medium,yes,3,2
Ecological,Flexibility,Zhao,zhao1,Larval dispersal,3,Low,Medium,yes,3,2
Ecological,Flexibility,Zhao,zhao1,Environmental niche breadth,3,Low,High,yes,3,3
Ecological,Flexibility,Zhao,zhao1,Dietary flexibility,3,Excellent,Medium,yes,3,2
Ecological,Organization,Zhao,zhao1,Ecosystem connectivity,4,Fair,High,yes,4,3
Ecological,Organization,Zhao,zhao1,Population modularity,3,Fair,Medium,yes,3,2
Social-economic,Assets,Zhao,zhao1,Wealth and reserves,3,Good,High,no,3,3
Social-economic,Assets,Zhao,zhao1,Economic diversity,3,Fair,High,no,3,3
Social-economic,Assets,Zhao,zhao1,Social diversity,4,Excellent,High,no,4,3
Social-economic,Flexibility,Zhao,zhao1,Flexible and agile infrstructure,2,Fair,Medium,yes,2,2
Social-economic,Flexibility,Zhao,zhao1,Mobility,2,Excellent,High,yes,2,3
Social-economic,Flexibility,Zhao,zhao1,Economic opportunity,2,Excellent,High,no,2,3
Social-economic,Flexibility,Zhao,zhao1,Resilience mindset,3,Excellent,High,no,3,3
Social-economic,Flexibility,Zhao,zhao1,Place attachment,4,Fair,High,yes,4,3
Social-economic,Organization,Zhao,zhao1,Social capital,2,Fair,High,no,2,3
Social-economic,Organization,Zhao,zhao1,Technology transfer,3,Low,Medium,yes,3,2
Social-economic,Organization,Zhao,zhao1,Modular infrastructure,"NA",E - No data,Medium,yes,0,2
Social-economic,Learning,Zhao,zhao1,Knowledge diversity,4,Excellent,High,no,4,3
Social-economic,Learning,Zhao,zhao1,Knowledge access,2,Good,High,yes,2,3
Social-economic,Learning,Zhao,zhao1,Learning capacity,4,Low,High,yes,4,3
Social-economic,Agency,Zhao,zhao1,Agency,3,Fair,High,yes,3,3
Goverance,Flexibility,Zhao,zhao1,Responsive,2,Fair,High,no,2,3
Goverance,Organization,Zhao,zhao1,Participatory,3,Excellent,High,yes,3,3
Goverance,Organization,Zhao,zhao1,Equitable and inclusive,2,Excellent,High,yes,2,3
Goverance,Organization,Zhao,zhao1,Accountable,2,Excellent,High,yes,2,3
Goverance,Organization,Zhao,zhao1,Transparent,2,Excellent,High,yes,2,3
Goverance,Organization,Zhao,zhao1,Effective and efficient,2,Excellent,High,yes,2,3
Goverance,Organization,Zhao,zhao1,Polycentric,2,Excellent,High,yes,2,3
Goverance,Organization,Zhao,zhao1,Cross-scale integration,2,Excellent,High,no,2,3
Goverance,Learning,Zhao,zhao1,Adaptive,2,Fair,High,yes,2,3
Goverance,Agency,Zhao,zhao1,Leadership and initiative,3,Good,Medium,no,3,2
